Jahr;Land;ISO 3166;Region;Konfliktstufe;;;;;;;
1998;Afghanistan;AFG;MENA;5;;;;;;;
1999;Afghanistan;AFG;MENA;5;;;;;;;
2000;Afghanistan;AFG;MENA;5;;;;;;;
2001;Afghanistan;AFG;MENA;5;;;;;;;
2002;Afghanistan;AFG;MENA;5;;;;;;;
2003;Afghanistan;AFG;MENA;4;;;;;;;
2004;Afghanistan;AFG;MENA;4;;;;;;;
2005;Afghanistan;AFG;MENA;4;;;;;;;
2006;Afghanistan;AFG;MENA;5;;;;;;;
2007;Afghanistan;AFG;MENA;5;;;;;;;
2008;Afghanistan;AFG;MENA;5;;;;;;;
2009;Afghanistan;AFG;MENA;5;;;;;;;
2010;Afghanistan;AFG;MENA;5;;;;;;;
2011;Afghanistan;AFG;MENA;5;;;;;;;
2012;Afghanistan;AFG;MENA;5;;;;;;;
2013;Afghanistan;AFG;MENA;5;;;;;;;
2011;Ägypten;EGY;MENA;5;;;;;;;
2013;Ägypten;EGY;MENA;5;;;;;;;
1998;Algerien;DZA;MENA;4;;;;;;;
1999;Algerien;DZA;MENA;4;;;;;;;
2000;Algerien;DZA;MENA;4;;;;;;;
2001;Algerien;DZA;MENA;4;;;;;;;
2002;Algerien;DZA;MENA;4;;;;;;;
2003;Algerien;DZA;MENA;4;;;;;;;
2004;Algerien;DZA;MENA;4;;;;;;;
2005;Algerien;DZA;MENA;4;;;;;;;
2006;Algerien;DZA;MENA;4;;;;;;;
2007;Algerien;DZA;MENA;4;;;;;;;
2010;Algerien;DZA;MENA;4;;;;;;;
2011;Algerien;DZA;MENA;4;;;;;;;
2012;Algerien;DZA;MENA;4;;;;;;;
2013;Algerien;DZA;MENA;4;;;;;;;
1998;Angola;AGO;Sub-Sahara Afrika;4;;;;;;;
1999;Angola;AGO;Sub-Sahara Afrika;5;;;;;;;
2000;Angola;AGO;Sub-Sahara Afrika;5;;;;;;;
2001;Angola;AGO;Sub-Sahara Afrika;5;;;;;;;
2002;Angola;AGO;Sub-Sahara Afrika;5;;;;;;;
2003;Angola;AGO;Sub-Sahara Afrika;4;;;;;;;
1998;Äthiopien;ETH;Sub-Sahara Afrika;5;;;;;;;
1999;Äthiopien;ETH;Sub-Sahara Afrika;5;;;;;;;
2000;Äthiopien;ETH;Sub-Sahara Afrika;5;;;;;;;
2002;Äthiopien;ETH;Sub-Sahara Afrika;4;;;;;;;
2004;Äthiopien;ETH;Sub-Sahara Afrika;4;;;;;;;
2006;Äthiopien;ETH;Sub-Sahara Afrika;4;;;;;;;
2007;Äthiopien;ETH;Sub-Sahara Afrika;4;;;;;;;
2009;Äthiopien;ETH;Sub-Sahara Afrika;4;;;;;;;
2010;Äthiopien;ETH;Sub-Sahara Afrika;4;;;;;;;
2001;Bangladesch;BGD;Asien/Ozenanien;4;;;;;;;
2002;Bangladesch;BGD;Asien/Ozenanien;4;;;;;;;
2004;Bhutan;BTN;Asien/Ozenanien;4;;;;;;;
2012;Brasilien;BRA;Amerika;4;;;;;;;
2013;Brasilien;BRA;Amerika;4;;;;;;;
1998;Burundi;BDI;Sub-Sahara Afrika;4;;;;;;;
1999;Burundi;BDI;Sub-Sahara Afrika;5;;;;;;;
2000;Burundi;BDI;Sub-Sahara Afrika;5;;;;;;;
2001;Burundi;BDI;Sub-Sahara Afrika;5;;;;;;;
2002;Burundi;BDI;Sub-Sahara Afrika;5;;;;;;;
2003;Burundi;BDI;Sub-Sahara Afrika;5;;;;;;;
2004;Burundi;BDI;Sub-Sahara Afrika;4;;;;;;;
2005;Burundi;BDI;Sub-Sahara Afrika;4;;;;;;;
2008;Burundi;BDI;Sub-Sahara Afrika;4;;;;;;;
2004;China;CHN;Asien/Ozenanien;4;;;;;;;
1998;DR Kongo;COD;Sub-Sahara Afrika;5;;;;;;;
1999;DR Kongo;COD;Sub-Sahara Afrika;5;;;;;;;
2000;DR Kongo;COD;Sub-Sahara Afrika;5;;;;;;;
2001;DR Kongo;COD;Sub-Sahara Afrika;5;;;;;;;
